    483 "Mexican"
    380 "Pizza"
    331 "American (Traditional)"
    268 "Burgers"
    251 "Fast Food"
    241 "Japanese"
    217 "Sandwiches"
    217 "American (New)"
    204 "Chinese"
    165 "Breakfast & Brunch"
    156 "Steakhouses"
    150 "Italian"
    110 "Thai"
    109 "Delis"
    105 "Seafood"
     99 "Barbeque"
     83 "Chicken Wings"
     69 "Mediterranean"
     60 "Asian Fusion"
     53 "Sushi Bars"
     50 "Vietnamese"
     50 "Hot Dogs"
     46 "Tex-Mex"
     39 "Hawaiian"
     39 "Filipino"
     32 "Latin American"
     30 "Korean"
     26 "French"
     20 "Vegan"
     20 "Soul Food"
     20 "Cajun\/Creole"
     19 "Indian"
     15 "Salad"
     13 "Tapas\/Small Plates"
     13 "Greek"
     13 "Dim Sum"
     12 "Tapas Bars"
     11 "Soup"
     10 "Taiwanese"
     10 "Spanish"
      9 "Pakistani"
      9 "Irish"
      9 "Cuban"
      8 "German"
      8 "Ethiopian"
      7 "Gastropubs"
      6 "Szechuan"
      6 "Peruvian"
      6 "Persian\/Iranian"
      6 "Caribbean"
      5 "Middle Eastern"
      5 "Kosher"
      5 "British"
      4 "Fondue"
      4 "Creperies"
      3 "Vegetarian"
      3 "Malaysian"
      3 "Fish & Chips"
      3 "African"
      2 "Russian"
      2 "Moroccan"
      2 "Mongolian"
      2 "Modern European"
      2 "Lebanese"
      2 "Gluten-Free"
      2 "Brazilian"
      2 "Argentine"
      1 "Turkish"
      1 "Shanghainese"
      1 "Portuguese"
      1 "Falafel"
      1 "Cantonese"
      1 "Afghan"
