--jFTZmywe7StuZ2hEjxyA	-115.182007	36.11882	"Sandwiches"
--zgHBiQpr8H2ZqSdGmguQ	-115.172043	36.106541	"Chinese"
-1B-DEGkLE1kDj5ENAF2NQ	-115.240837	36.114079	"Modern European"
-1ERbsOf9XOC9wGbZYFr7g	-115.351509	36.159061	"Mexican"
-27u-98Ugczq_xsNPdcvEg	-114.968765	36.02755	"Breakfast & Brunch"
-2n-OHbbwIv3SY8RP9bgTQ	-115.172989	36.128223	"Italian"
-347ffrUUMrn26J2VGf5bA	-114.984215	36.042545	"Burgers"
-36CwMJZJigqPMYrx9BJzw	-115.206703	36.110413	"American (Traditional)"
-4mNZfAXMd2mxEsD2YRcaQ	-115.172729	36.108913	"Burgers"
-4THvPKs5M3P2036bJ50GA	-115.112289	36.005634	"Mexican"
-584fn2GxYe9sLsgN2WeQA	-115.225967	36.239571	"Hot Dogs"
-5biAn5qQYk3X5NYlA98pw	-115.142395	36.142128	"Mexican"
-5RN56jH78MV2oquLV_G8g	-115.177002	36.111992	"French"
-7PWVPeSkUulZV0KrGysUQ	-115.225044	36.195328	"Mexican"
-8NkeBMgbGX97In5NEZtqA	-115.152916	36.137112	"American (New)"
-A3i-qtJxTkvTQkXy6h-6A	-115.045074	36.068241	"Hot Dogs"
-CAxtEWbiPIJlpbWq4qz2A	-115.156029	36.147247	"Pizza"
-ci3EPcE8XFOMtp1m-SZdQ	-115.138939	36.005844	"American (Traditional)"
-cOzkNEQIdF1g_4o4M-uGw	-114.982216	36.032303	"American (Traditional)"
-DuZnO0oM7uKrRrWX1P60w	-115.270805	36.298153	"Breakfast & Brunch"
-ffo-JFhFj2kR6kZL4qYhg	-115.262474	36.219177	"Breakfast & Brunch"
-GF267VCCEZ7es8pnKxRoA	-115.120758	36.041954	"Fast Food"
-GfF38wZLZreAgwhHLQXjQ	-115.266754	36.270775	"Barbeque"
-GZsHVDlI6wvLsgD1Yaj0g	-115.139603	36.169117	"Sandwiches"
-hR0gDq8FD2DJI6eJX7U1A	-115.230965	36.159546	"Burgers"
-hz2-OaJg9KZXB3UN6Z0aw	-115.211624	36.171185	"Peruvian"
-I8JegdD-4huAo3z0A_ZhA	-115.137238	36.108643	"Mediterranean"
-IM6Y4Z2pZ21xvZl1mHUSA	-115.110603	36.19603	"Mexican"
-jbmBxIHXePbW_0PhqodIQ	-115.144058	36.171234	"Delis"
-K22CWorrReIV_kgLa6dmQ	-115.281433	36.055153	"Chicken Wings"
-klcXxRui4WSJpi__eV5Ww	-115.039421	36.056618	"Fast Food"
-LL8qFtRQv3JY-48gs1xlw	-115.070091	36.115253	"Burgers"
-n8BELX8Xd0rCRCGYd05xg	-115.304199	36.193104	"Sandwiches"
-NXDZfqwfZ9OWba180HqFw	-115.191246	36.144737	"Mexican"
-NxrB5o0I8IhAOZfHYDiqQ	-115.009293	36.032089	"American (Traditional)"
-O42yadp5Otp2F2DsilaFA	-115.211342	36.11274	"Chinese"
-oTaJYlPRMyJbuDgB5iS7w	-115.244064	36.161297	"Sandwiches"
-PcyNcCHU8ZWwf6_PwDbUQ	-115.182312	36.140705	"Italian"
-PESvVv3rPQFAU1_cZ8_hw	-115.248108	36.195515	"Mexican"
-qeubUfFjWg3yA02IFxbKQ	-115.17556	36.098907	"Fast Food"
